"Los Angeles, CA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Castaic,city,All Homes,"$595,100",0.8%,2.4%,4.4%,4.8%,4.3%,10.8%,3.1%,-3.1%,-2.1%,$831,0.8%,2.3%,4.4%,---,---,---,---,"$576,500",-0.4%,0.3%,0.3%,"$610,400",0.4%,8.7%,8.0%,$304,-0.3%,-0.8%,6.3%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,886",-1.8%,-1.2%,-0.4%
Cerritos,city,All Homes,"$753,200",1.0%,2.5%,3.5%,3.6%,3.2%,10.0%,3.8%,-2.6%,-12.2%,$622,1.0%,2.5%,3.5%,---,---,---,---,"$714,900",-3.3%,-3.1%,-4.6%,"$709,400",-5.9%,-1.7%,2.3%,$422,0.0%,-0.9%,6.0%,"$2,900",0.0%,0.0%,0.0%,$2.10,3.2%,4.6%,8.7%,---,---,---,---,"$2,979",-0.1%,1.2%,2.9%
Claremont,city,All Homes,"$713,000",1.0%,2.5%,4.5%,3.7%,4.1%,12.7%,1.7%,-4.0%,-11.3%,"$1,968",1.0%,2.5%,4.5%,2.4%,-0.0%,-0.2%,0.2%,"$720,000",2.9%,-2.4%,1.8%,"$761,200",1.4%,6.1%,18.4%,$373,1.8%,2.5%,1.7%,"$2,500",0.0%,-3.8%,0.0%,$1.55,-9.9%,-7.1%,-3.9%,0,---,---,---,"$2,725",-1.6%,-0.9%,0.8%
Commerce,city,All Homes,"$490,000",1.2%,3.3%,6.7%,6.6%,6.1%,---,---,---,---,$455,1.3%,3.4%,6.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,458",0.1%,0.2%,3.9%
Compton,city,All Homes,"$444,200",1.4%,3.8%,8.4%,8.6%,7.7%,6.6%,3.3%,-2.7%,-5.0%,$615,1.5%,3.7%,8.5%,1.6%,0.1%,-0.6%,-1.0%,"$425,000",-0.0%,1.4%,6.3%,"$450,300",0.6%,2.9%,10.3%,$360,2.7%,2.4%,2.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,422",-1.6%,-1.9%,2.5%
Covina,city,All Homes,"$565,500",1.2%,3.1%,5.4%,5.3%,4.9%,7.1%,3.4%,-4.8%,-11.8%,"$1,470",1.2%,3.2%,5.4%,2.3%,0.3%,0.7%,0.4%,"$558,500",0.6%,-0.1%,5.3%,"$542,600",-1.4%,-2.7%,7.3%,$360,2.0%,4.5%,2.3%,"$2,400",4.6%,4.3%,0.0%,$1.78,-0.2%,6.6%,0.1%,---,---,---,---,"$2,513",0.2%,0.4%,2.0%
Cudahy,city,All Homes,"$472,400",1.0%,2.7%,5.8%,6.8%,5.8%,---,---,---,---,$375,1.1%,2.7%,5.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Culver City,city,All Homes,"$1,236,300",1.1%,3.0%,5.8%,8.7%,7.0%,---,---,---,---,"$1,364",1.1%,2.9%,5.8%,---,---,---,---,"$1,097,000",4.5%,4.0%,15.0%,---,---,---,---,$672,-2.4%,-0.2%,4.5%,"$4,200",0.0%,11.3%,20.2%,$3.12,4.0%,5.0%,2.8%,---,---,---,---,"$3,893",1.2%,1.0%,4.0%
Diamond Bar,city,All Homes,"$704,100",0.9%,2.2%,2.6%,2.7%,3.7%,7.8%,-0.9%,-10.3%,-7.8%,"$1,650",0.9%,2.2%,2.6%,2.7%,0.1%,0.4%,0.6%,"$717,500",0.7%,-5.5%,0.3%,"$616,400",5.3%,-3.1%,2.5%,$399,1.9%,1.7%,2.4%,"$2,650",6.0%,1.9%,6.9%,$1.67,-2.7%,2.9%,2.9%,0.57,---,---,-1.1%,"$2,759",-1.4%,-0.3%,2.9%
Downey,city,All Homes,"$609,100",1.1%,3.1%,6.0%,5.9%,4.8%,8.9%,4.3%,-2.2%,-5.0%,"$1,008",1.2%,3.2%,6.0%,2.0%,0.6%,-0.4%,-0.3%,"$640,000",2.4%,3.5%,6.7%,---,---,---,---,$384,1.8%,-0.9%,0.8%,"$2,480",-4.8%,-1.0%,-1.0%,$1.95,4.6%,6.5%,0.1%,---,---,---,---,"$2,739",-0.2%,1.5%,3.2%
